company_id,year,revenue,ebitda,debt,cash,capex
1,2019,109801729.0029393,22563544.62488753,46174291.146770075,24541960.67852396,4801549.517701182
1,2020,121430277.45657022,32316146.313227862,83048034.14647591,11450749.99713683,6307169.221299209
1,2021,134290346.94694933,32417106.494004592,124758155.33131827,9456277.711256355,7904802.639880854
1,2022,148512361.66846347,42120795.2402107,163005083.32381117,17186054.63694772,10412988.400183171
1,2023,164240558.38546285,36037775.01106715,96864531.91551617,29158471.64297364,12587507.018205708
2,2019,250889239.94864777,45833138.753341705,156582495.02386057,68733936.7732712,16195074.365071224
2,2020,278961528.2010773,72547903.73661979,285395489.2422446,48056165.13536312,17499684.712346874
2,2021,310174857.36817014,95037908.94197522,228224412.65487653,81692232.2650682,19582467.5008932
2,2022,344880682.16351694,88914810.0554249,302791520.17836446,62993837.71013914,16228094.02472875
2,2023,383469781.9765277,95332450.18793504,163826593.18615735,40749293.85180158,27683592.863993093
3,2019,295243747.7687808,80297409.9610435,157178582.46572828,77989224.4529136,18866482.813177887
3,2020,323844287.3032876,77774193.86012486,179100283.17070824,66843984.3757876,10035400.953966793
3,2021,355215388.0024139,72879406.38343251,170498854.2576883,84513380.47339386,23983821.10752501
3,2022,389625436.7319961,97389232.96865888,336200581.1895306,102260406.82235585,26690726.371113747
3,2023,427368819.2459924,90186927.34787424,108884404.94387957,74236194.93474333,29992783.749976188
4,2019,141110952.91687712,45222098.2707224,116362165.54140571,17231149.00690656,8552783.621775722
4,2020,156161908.7770462,38651269.786967404,90027106.13137206,8044639.472687505,8490091.432855483
4,2021,172818206.16189623,41604795.48385748,72340703.9977107,49514037.07425354,7001965.857980874
4,2022,191251071.49948978,32773469.717198268,81804217.65215564,48443414.71794455,14364543.268902794
4,2023,211649994.3034799,37752649.44039274,128035345.16470186,57670881.22485883,8691882.414746119
5,2019,79228851.07736875,18255569.886495203,60440030.87813884,10167453.542203093,4263568.951556868
5,2020,90954415.98512138,20098093.64181617,22449101.715231724,9950896.19192944,6932046.418574057
5,2021,104415319.35274464,16906838.12523643,58955731.15976116,19730391.406635705,6246226.231226005
5,2022,119868384.59079462,34680721.25779326,82416473.21287102,10785176.789233785,6380526.789417642
5,2023,137608443.9857528,46361687.55835313,119436821.27617495,39304812.39354291,6011662.462266228
6,2019,339104869.2817814,112833924.16650759,370745847.73671323,42684653.84662331,17373771.262841593
6,2020,412111304.8571311,118940315.2563248,327672321.18490833,89835772.70052393,28305098.425386023
6,2021,500835413.98493207,117710347.88154306,366168113.4612609,67541501.96347798,27466927.381062143
6,2022,608661080.0167615,144734157.90500057,211254699.7343297,70875468.2297858,29197330.50640234
6,2023,739700708.0220497,140062556.29251307,310974525.3099981,165312209.7092441,39146779.15482053
7,2019,295958190.2871155,86813893.7596044,159059259.9593881,74514800.57123546,20747380.84279977
7,2020,327666785.97334963,92227324.83705464,136346633.3269402,27723519.189261306,16604308.56954653
7,2021,362772601.51492095,126464368.63782716,435921941.66397935,29390402.72154126,24494272.461645987
7,2022,401639610.8594524,62056082.536348835,244208061.89188465,118398532.86770828,20663893.92488591
7,2023,444670783.67465264,75843092.4921634,252131315.55600902,54951540.095933996,16829119.75252256
8,2019,66086720.93172794,13242180.508066086,21259730.67586294,14584613.15146611,3575009.316789495
8,2020,76951222.21056052,15741186.040962422,34524086.73190109,11267208.522900362,4518753.082112385
8,2021,89601821.91239846,19217562.115109444,53601001.1685172,15715500.738278065,6847611.040680638
8,2022,104332150.41150272,23751803.95075656,61490966.05950184,30212495.676575992,7073886.7703551
8,2023,121484110.22412716,41755949.98260772,117441037.33309336,20138283.17182796,6150997.827775455
9,2019,192072161.17916158,36821065.28333441,117462818.60742584,27643173.320530023,6737861.388359056
9,2020,217873820.9578641,59828915.07228292,83706154.99313815,17929883.8844142,11421606.947747031
9,2021,247141499.14990106,39532921.08880046,108656095.8740936,70146233.63683018,14689042.697637511
9,2022,280340796.9508781,45536746.049422465,61707830.411214896,49332350.16133981,9168484.041136913
9,2023,317999861.23489904,107038399.47391567,388769612.7352498,78454097.8328259,14227381.174940191
10,2019,146238578.08045512,47406101.17015565,99485993.97158816,22008459.380418874,9077274.11479923
10,2020,173695501.62932622,45005831.4193451,84743554.83205639,22901999.555092264,8121095.2168852575
10,2021,206307580.95626974,53085226.99356321,96506121.64446259,53631730.60662845,6620484.809151489
10,2022,245042718.78530684,72702618.11359279,196579223.525247,39343118.828855306,17858604.65155224
10,2023,291050545.7500502,73464352.07498346,137634453.08086708,72099875.95134686,16017410.641898789
11,2019,131402317.49583219,31456188.12978945,101510808.43114194,30029413.647260256,8541185.88374996
11,2020,143951219.77014077,40534795.947928816,158643056.78924766,9942654.279031344,9157749.796579173
11,2021,157698540.39270368,36580058.11608403,75081122.6716588,12613058.207985338,6558329.668044119
11,2022,172758728.1420705,31003439.7774067,34805047.128504954,30468396.692055464,10881496.529436044
11,2023,189257161.63855314,58324366.04751026,212962055.12801906,27114967.70274295,11963034.292730564
12,2019,327270712.8700308,64327440.84909189,187568711.87516806,69938541.92321862,10988044.387081586
12,2020,373789636.1573551,129620450.66577233,276055886.48831767,44903498.83008551,19635017.357599743
12,2021,426920853.6057868,79068312.25461133,299233273.51865923,63501645.811882734,13847970.207613671
12,2022,487604250.1263107,134344535.23665205,246775813.87951702,145101404.8942103,25168586.50130111
12,2023,556913307.7785522,165447965.64218724,466956794.6447024,156080598.50885746,30592890.035107046
13,2019,331061918.02778023,68335540.22618377,85748339.48030989,20429907.33139716,13031948.710375268
13,2020,393878134.58084065,120730291.16032675,318081724.8625162,24762627.23231829,23118305.996098127
13,2021,468613200.2892118,120292987.35938235,425825420.2008822,111169750.96302958,17057110.567867298
13,2022,557528616.6087648,89688753.86139013,355230462.4216761,95627584.44526285,26470874.833753422
